row_operation,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9
Anbar campaign (2015–16)_Q22935666,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,American-led intervention in Iraq (2014–present)_Q18159629,Anbar campaign (2015–16)_Q22935666,Battle of Hit (2016)_Q23403028,NA,NA
Anbar campaign (2015–16)_Q22935666,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,American-led intervention in Iraq (2014–present)_Q18159629,Anbar campaign (2015–16)_Q22935666,Battle of Ramadi (2015–16)_Q21685887,NA,NA
Anbar campaign (2015–16)_Q22935666,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,American-led intervention in Iraq (2014–present)_Q18159629,Anbar campaign (2015–16)_Q22935666,Siege of Fallujah (2016)_Q23137890,NA,NA
2017 Mosul airstrike_Q29524697,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,American-led intervention in Iraq (2014–present)_Q18159629,Battle of Mosul (2016–17)_Q27429856,2017 Mosul airstrike_Q29524697,NA,NA
Western Nineveh offensive (2017)_Q30014900,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,American-led intervention in Iraq (2014–present)_Q18159629,Battle of Mosul (2016–17)_Q27429856,Western Nineveh offensive (2017)_Q30014900,NA,NA
Hawija offensive (2017)_Q40532579,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,American-led intervention in Iraq (2014–present)_Q18159629,Hawija offensive (2017)_Q40532579,NA,NA,NA
Mosul offensive (2016)_Q23540783,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,American-led intervention in Iraq (2014–present)_Q18159629,Mosul offensive (2016)_Q23540783,NA,NA,NA
November 2015 Sinjar offensive_Q21472342,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,American-led intervention in Iraq (2014–present)_Q18159629,November 2015 Sinjar offensive_Q21472342,NA,NA,NA
Salahuddin campaign_Q19574810,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,American-led intervention in Iraq (2014–present)_Q18159629,Salahuddin campaign_Q19574810,Battle of Baiji (2014–15)_Q17621839,NA,NA
Salahuddin campaign_Q19574810,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,American-led intervention in Iraq (2014–present)_Q18159629,Salahuddin campaign_Q19574810,Battle of Baiji (October–November 2014)_Q19799151,NA,NA
Salahuddin campaign_Q19574810,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,American-led intervention in Iraq (2014–present)_Q18159629,Salahuddin campaign_Q19574810,Battle of Tikrit_Q17286795,NA,NA
Salahuddin campaign_Q19574810,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,American-led intervention in Iraq (2014–present)_Q18159629,Salahuddin campaign_Q19574810,Second Battle of Tikrit_Q19407785,NA,NA
